City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
314,Moyamba,SL,8.17,-12.43,74.37,95,100,4.94,moderate rain
315,Daru,PG,-9.08,143.21,75.54,77,100,12.91,overcast clouds
316,Sola,VU,-13.88,167.55,80.98,83,72,9.95,light rain
317,Berbera,SO,10.44,45.01,91.69,42,35,18.14,scattered clouds
318,Shirokiy,RU,49.76,129.52,56.77,91,70,6.33,broken clouds
319,Changji,CN,44.02,87.32,73.4,40,0,4.47,clear sky
320,Camacha,PT,33.08,-16.33,73.4,78,40,13.87,scattered clouds
321,Sibu,MY,2.3,111.82,73.4,100,40,3.36,light rain
322,Beringovskiy,RU,63.05,179.32,53.74,79,36,2.33,scattered clouds
323,Araceli,PH,10.55,119.99,83.89,72,100,5.99,overcast clouds
324,Kribi,CM,2.95,9.92,76.26,88,100,10.04,moderate rain
325,Yamada,JP,39.47,141.95,72.52,87,100,3.6,overcast clouds
326,Severnyy,RU,50.68,36.55,68.0,49,36,2.24,scattered clouds
327,Salinopolis,BR,-0.61,-47.36,81.03,81,92,11.99,overcast clouds
328,Faya,SA,18.39,42.45,71.6,83,59,2.28,broken clouds
329,Goderich,CA,43.75,-81.72,84.99,74,0,1.99,clear sky
330,Toora-Khem,RU,52.47,96.11,46.08,75,81,0.67,broken clouds
331,Hovd,MN,48.01,91.64,58.98,45,47,8.48,scattered clouds
332,Vysokogornyy,RU,50.12,139.15,56.16,95,95,2.57,overcast clouds
333,Novikovo,RU,51.15,37.89,61.48,65,50,2.51,scattered clouds
334,Coihaique,CL,-45.58,-72.07,39.2,86,90,3.36,light rain
335,Saint-Philippe,RE,-21.36,55.77,69.8,77,36,6.93,scattered clouds
336,Soyo,AO,-6.13,12.37,73.24,91,40,6.31,scattered clouds
337,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,74.37,77,94,6.44,overcast clouds
338,Sabang,ID,5.89,95.32,83.52,70,46,6.33,scattered clouds
339,Yerbogachen,RU,61.28,108.01,45.01,68,4,6.4,clear sky
340,Hirara,JP,24.8,125.28,84.81,78,100,27.0,light rain
341,Tarko-Sale,RU,64.92,77.78,48.99,93,18,3.09,few clouds
342,Saint-Joseph,RE,-21.37,55.62,66.2,77,19,6.93,few clouds
343,Ribeira Grande,PT,38.52,-28.7,75.2,88,40,8.05,scattered clouds
344,Uyuni,BO,-20.46,-66.83,52.86,38,2,19.53,clear sky
345,Juneau,US,58.3,-134.42,57.2,93,90,6.93,moderate rain
346,Djambala,CG,-2.54,14.75,73.42,79,100,2.53,overcast clouds
347,Nara,JP,34.69,135.8,81.0,88,40,4.7,scattered clouds
348,Saint-Pierre,RE,-21.34,55.48,66.2,77,3,6.93,clear sky
349,Concepcion Del Oro,MX,24.63,-101.42,74.1,30,29,7.31,scattered clouds
350,Port Hawkesbury,CA,45.62,-61.35,77.0,41,40,5.82,scattered clouds
351,Hoa Binh,VN,20.81,105.34,82.4,83,24,4.7,few clouds
352,Paciran,ID,-6.88,112.38,76.64,83,15,5.99,few clouds
353,Winslow,US,35.02,-110.7,98.6,14,1,9.17,clear sky
354,Betare Oya,CM,5.6,14.08,66.09,97,100,1.21,light rain
355,Meulaboh,ID,4.14,96.13,76.96,85,100,4.61,overcast clouds
356,Aykino,RU,62.22,49.99,57.83,96,100,3.4,light rain
357,Brae,GB,60.4,-1.35,50.0,71,82,12.75,light rain
358,Ipixuna,BR,-1.76,-48.8,78.8,88,75,9.17,broken clouds
359,Kralendijk,BQ,12.15,-68.27,87.8,66,1,9.17,clear sky
